v1,v2,v3,v4,v5,v6,v7
0.600,0.035,0.310,0.100,0.035,0.080
0.685,0.020,0.235,0.105,0.000,0.035
0.770,0.075,0.340,0.385,0.000,0.040
0.660,0.120,0.255,0.380,0.005,0.030
0.835,0.005,0.330,0.055,0.015,0.120
0.790,0.010,0.270,0.090,0.005,0.030
0.565,0.110,0.235,0.405,0.030,0.070
0.830,0.015,0.380,0.090,0.005,0.230
0.625,0.080,0.270,0.275,0.005,0.065
0.760,0.110,0.150,0.345,0.000,0.010
0.770,0.010,0.515,0.055,0.010,0.110
0.280,0.185,0.265,0.840,0.255,0.050,0.035,0.085,0.020
0.765,0.040,0.360,0.040,0.005,0.140
0.400,0.180,0.235,0.480,0.010,0.065
0.710,0.105,0.320,0.350,0.010,0.050
0.580,0.015,0.165,0.130,0.005,0.035
0.890,0.015,0.270,0.110,0.000,0.110
0.865,0.000,0.320,0.065,0.000,0.045
0.665,0.110,0.355,0.385,0.000,0.060
0.735,0.030,0.230,0.050,0.000,0.045
0.690,0.065,0.305,0.375,0.000,0.045
0.750,0.030,0.295,0.145,0.010,0.090
0.630,0.085,0.300,0.385,0.020,0.050
0.665,0.075,0.245,0.360,0.005,0.050
0.660,0.015,0.200,0.060,0.005,0.050
0.770,0.145,0.235,0.295,0.015,0.025
0.640,0.025,0.220,0.055,0.005,0.015
0.730,0.010,0.175,0.055,0.005,0.040
0.735,0.035,0.420,0.065,0.005,0.075
0.710,0.065,0.270,0.310,0.000,0.035
0.580,0.115,0.360,0.375,0.005,0.095
0.695,0.105,0.200,0.225,0.005,0.065
0.730,0.015,0.250,0.050,0.015,0.150
0.630,0.125,0.290,0.370,0.010,0.050
0.435,0.170,0.300,0.445,0.000,0.030
0.610,0.115,0.270,0.245,0.010,0.060
0.680,0.090,0.275,0.425,0.005,0.040
0.765,0.010,0.335,0.195,0.005,0.040
0.735,0.095,0.265,0.380,0.015,0.060
0.765,0.020,0.235,0.055,0.005,0.050
0.670,0.105,0.345,0.395,0.000,0.055
0.300,0.230,0.265,0.945,0.200,0.055,0.035,0.090,0.040
0.295,0.210,0.340,0.930,0.210,0.045,0.050,0.100,0.040
0.890,0.000,0.195,0.090,0.000,0.025
0.620,0.125,0.255,0.380,0.005,0.030
0.825,0.010,0.255,0.105,0.005,0.030
0.875,0.010,0.165,0.085,0.005,0.015
0.695,0.015,0.320,0.090,0.000,0.105
0.725,0.110,0.280,0.330,0.010,0.060
0.705,0.045,0.300,0.115,0.010,0.070
0.690,0.010,0.195,0.075,0.015,0.040
